show_type;genre;running_minutes;source_language;season_id;series_id;finished;ranking;estreno_fecha;estreno_hora;efectos especiales
Movies;Sci-Fi;146;English;;;true;0.9;01/01/1999;5:41:16;Sonido
TV;Documentary and Biography;43;English;4;5;true;4.8;20/08/2008;7:23:39;Optico Sonido
TV;Reality;22;English;15;22;true;6.3;15/01/2011;4:53:52;Maquillaje Optico
TV;Reality;22;English;15;22;false;6.1;04/11/2012;10:57:37;Maquillaje Optico Sonido
TV;Reality;22;English;15;22;true;3.3;07/07/2008;22:41:56;Maquillaje
TV;Comedy;23;English;12;20;false;4.9;17/05/1999;10:59:30;Maquillaje Optico
TV;Comedy;23;English;13;20;true;4.6;08/03/2021;18:33:21;Maquillaje Optico
TV;Comedy;23;English;13;20;false;4.0;17/05/2001;2:26:20;Maquillaje
TV;Kids;12;English;50;6;true;7.3;06/12/2006;0:10:10;Sonido
TV;Comedy;19;English;35;41;true;8.1;20/08/2019;21:32:15;Maquillaje Optico Sonido
TV;Kids;23;Spanish;52;61;false;0.5;22/01/2007;22:41:47;Maquillaje
TV;Kids;23;Spanish;52;61;false;10.0;17/05/2010;23:27:25;Optico
TV;Kids;23;Spanish;52;61;true;3.1;17/12/2015;18:37:37;Optico Sonido
Movies;Comedy;107;Spanish;;;true;3.0;16/06/2021;20:44:05;Sonido
Movies;Action and Adventure;150;Spanish;;;false;2.2;02/01/2000;11:26:54;Maquillaje Sonido
TV;Kids;24;Spanish;16;23;true;2.7;07/03/2012;4:40:32;Optico
TV;4a;46;Spanish;8;11;false;7.9;27/04/2003;17:20:11;Optico
TV;4a;46;Spanish;8;11;true;0.3;05/09/2002;10:21:48;Maquillaje Optico Sonido
TV;Comedy;23;English;25;27;false;5.3;18/11/2011;19:36:40;Maquillaje Sonido
TV;Comedy;22;English;25;27;false;5.9;15/11/1999;14:54:36;Sonido
TV;Comedy;23;English;25;27;false;6.3;14/10/2010;15:22:36;Optico
TV;Comedy;21;English;25;27;true;6.8;18/08/2004;5:13:45;Maquillaje Sonido
TV;Comedy;21;English;25;27;false;2.8;05/12/2003;14:38:21;Maquillaje Optico
TV;Comedy;21;English;25;27;true;8.9;14/02/2010;0:09:38;Maquillaje Optico
TV;Comedy;22;English;25;27;true;8.4;09/11/2021;1:11:43;Maquillaje
TV;Comedy;21;English;25;27;false;5.6;24/05/2010;16:27:33;Maquillaje Optico
TV;Comedy;20;English;25;27;true;7.4;14/10/2015;18:16:30;Maquillaje Optico Sonido
TV;Comedy;21;English;25;27;true;8.9;03/01/2002;13:18:19;Optico Sonido
TV;Comedy;22;English;25;27;false;7.5;12/12/2018;13:46:59;Maquillaje Optico Sonido
TV;Comedy;21;English;25;27;false;9.6;10/04/2015;10:29:55;Optico Sonido
TV;Comedy;22;English;25;27;false;1.7;16/06/2022;22:08:24;Optico
TV;Comedy;21;English;25;27;true;0.8;25/09/2003;6:02:06;Maquillaje Optico
TV;Comedy;22;English;25;27;true;4.2;02/02/2007;20:57:04;Optico Sonido
TV;Comedy;20;English;25;27;true;6.3;07/09/2021;23:24:46;Maquillaje
TV;Comedy;21;English;25;27;true;1.1;28/01/2020;8:31:43;Maquillaje Optico Sonido
TV;Comedy;20;English;22;27;false;5.6;06/03/2019;15:42:56;Maquillaje Optico
TV;Comedy;21;English;22;27;false;6.3;04/08/2015;8:54:06;Maquillaje Optico Sonido
TV;Comedy;22;English;22;27;true;1.0;26/11/2013;12:35:03;Maquillaje
TV;Comedy;21;English;22;27;false;1.3;29/06/2009;19:54:24;Maquillaje Optico Sonido
TV;Comedy;21;English;22;27;true;2.2;13/05/2022;2:48:59;Maquillaje Sonido
TV;Comedy;22;English;22;27;false;4.1;12/05/2000;4:29:11;Maquillaje
TV;Comedy;22;English;22;27;true;4.4;28/02/2005;19:30:25;Sonido
TV;Comedy;22;English;22;27;true;0.6;29/04/2018;23:12:39;Sonido
TV;Comedy;22;English;22;27;false;3.0;14/04/2006;15:37:51;Maquillaje
TV;Comedy;22;English;22;27;true;0.1;10/02/2007;4:25:17;Optico
TV;Comedy;21;English;22;27;false;0.6;16/10/2001;4:52:22;Maquillaje Optico Sonido
TV;Comedy;22;English;22;27;false;7.6;23/08/2008;13:56:40;Maquillaje
TV;Comedy;22;English;22;27;false;8.4;27/09/2011;5:58:25;Optico Sonido
TV;Comedy;22;English;23;27;true;1.1;16/07/2009;7:22:00;Maquillaje Optico Sonido
TV;Comedy;22;English;23;27;false;9.7;27/08/2002;7:56:51;Maquillaje
TV;Comedy;22;English;24;27;true;8.8;20/05/2002;16:44:30;Maquillaje
TV;Comedy;22;English;24;27;false;8.1;15/07/2002;9:52:26;Maquillaje
TV;Comedy;22;English;24;27;true;5.0;17/02/2018;4:31:16;Maquillaje Sonido
TV;Comedy;22;English;24;27;true;5.5;01/07/2007;10:23:18;Maquillaje Sonido
TV;Comedy;20;English;24;27;true;5.8;23/09/2020;17:10:01;Optico
TV;Comedy;21;English;24;27;false;4.9;29/09/2000;1:45:50;Maquillaje
TV;Comedy;22;English;24;27;false;8.8;31/12/2016;18:24:53;Maquillaje Sonido
TV;Comedy;22;English;24;27;false;4.4;31/03/2014;23:58:43;Optico Sonido
TV;Comedy;22;English;24;27;true;5.3;17/10/2005;4:45:49;Optico Sonido
TV;Comedy;21;English;24;27;true;2.2;28/08/2012;7:48:35;Maquillaje Optico
TV;Comedy;21;English;24;27;true;3.0;25/10/1999;15:21:30;Maquillaje Optico Sonido
TV;Comedy;20;English;24;27;false;3.8;16/03/2004;19:31:39;Sonido
TV;Comedy;22;English;24;27;true;2.5;26/01/2007;20:50:52;Sonido
TV;Comedy;22;English;24;27;false;2.1;08/05/2014;5:12:32;Maquillaje Optico
TV;Comedy;21;English;17;24;true;8.8;02/09/2014;20:14:10;Maquillaje Optico Sonido
TV;Comedy;21;English;18;24;true;1.6;21/08/2017;2:38:11;Optico Sonido
TV;Comedy;12;English;18;24;false;3.0;05/04/2008;1:46:27;Maquillaje
TV;Kids;23;English;39;3;true;5.6;09/01/2023;8:42:45;Sonido
TV;Fantasy;40;English;27;29;false;1.0;27/08/2000;3:35:01;Maquillaje Optico Sonido
TV;Fantasy;41;English;27;29;false;4.3;21/07/2009;9:35:23;Maquillaje
TV;Fantasy;41;English;27;29;true;2.9;29/12/2014;22:32:33;Maquillaje Sonido
TV;Comedy;22;English;26;28;true;3.0;25/02/2016;16:44:37;Optico Sonido
TV;Comedy;22;English;20;26;false;4.6;25/01/2004;9:36:02;Maquillaje Sonido
TV;Comedy;22;English;20;26;true;3.0;08/10/2019;8:17:03;Optico Sonido
TV;Comedy;22;English;20;26;false;6.5;11/08/2009;3:09:31;Maquillaje
TV;Comedy;22;English;20;26;false;2.1;05/01/2013;0:38:40;Maquillaje Sonido
TV;Comedy;22;English;20;26;true;7.8;05/08/2020;19:41:39;Maquillaje Optico
TV;Comedy;22;English;20;26;true;7.9;30/10/2001;13:52:27;Maquillaje Optico Sonido
TV;Comedy;22;English;20;26;false;7.2;10/05/2018;1:30:21;Maquillaje Sonido
TV;Comedy;22;English;20;26;true;1.5;17/07/2006;11:48:30;Optico
TV;Comedy;22;English;20;26;true;1.6;22/10/1999;18:24:34;Maquillaje Optico Sonido
TV;Comedy;22;English;20;26;false;3.9;12/11/2020;20:55:27;Maquillaje Optico Sonido
TV;Comedy;22;English;21;26;false;0.5;03/06/2018;21:11:47;Maquillaje Sonido
TV;Comedy;22;English;21;26;false;1.4;24/01/2008;20:25:13;Optico
Movies;4a;121;English;;;true;2.2;15/04/2018;17:30:11;Optico
Movies;Romance;124;English;;;true;4.6;10/11/2022;18:46:42;Optico Sonido
Movies;Action and Adventure;141;English;;;true;3.6;09/10/2002;1:17:02;Maquillaje Optico Sonido
Movies;Comedy;102;English;;;true;0.5;27/01/2008;13:53:36;Maquillaje Sonido
Movies;Kids;109;English;;;true;7.0;10/05/2016;12:04:11;Optico
Movies;Action and Adventure;91;English;;;false;1.1;17/03/2014;6:56:15;Maquillaje Optico Sonido
Movies;Action and Adventure;114;English;;;false;9.4;27/03/2000;7:46:40;Maquillaje Optico Sonido
Movies;Fantasy;161;English;;;false;5.4;07/11/2020;16:25:23;Maquillaje
Movies;Fantasy;158;English;;;true;7.9;27/09/2003;7:36:42;Maquillaje
Movies;Fantasy;142;English;;;true;4.8;08/10/2018;0:49:22;Maquillaje Optico
Movies;Fantasy;153;English;;;false;2.9;07/04/2018;0:07:48;Maquillaje
Movies;4a;146;English;;;true;5.2;31/01/2007;12:07:15;Optico Sonido
TV;4a;43;English;29;30;false;8.8;04/08/2022;23:47:35;Sonido
TV;4a;43;English;29;30;true;0.5;18/06/2006;8:32:41;Sonido
TV;4a;43;English;29;30;false;4.3;25/04/2009;0:26:37;Sonido
TV;4a;40;English;29;30;true;8.4;03/04/2006;23:03:51;Sonido
TV;4a;42;English;29;30;true;2.1;07/07/2003;22:31:10;Maquillaje Optico Sonido
TV;4a;43;English;29;30;false;9.9;22/06/2016;2:46:12;Optico
TV;4a;42;English;29;30;false;1.0;20/05/2000;22:10:37;Optico
TV;4a;43;English;29;30;false;9.0;15/05/2018;7:23:21;Maquillaje Sonido
TV;4a;43;English;29;30;false;6.6;10/11/2002;23:24:02;Maquillaje Optico Sonido
TV;4a;43;English;29;30;false;8.3;04/07/2002;3:28:05;Maquillaje Optico
TV;4a;43;English;29;30;false;2.1;16/12/2021;1:36:03;Maquillaje Sonido
TV;4a;42;English;29;30;false;9.8;17/09/2001;15:30:24;Maquillaje Optico Sonido
TV;4a;41;English;29;30;true;5.1;17/03/1999;19:51:17;Maquillaje Optico
TV;4a;43;English;29;30;true;7.4;23/11/2008;7:54:39;Sonido
TV;4a;43;English;29;30;false;1.1;22/11/2009;16:14:36;Optico Sonido
TV;4a;42;English;29;30;true;1.4;13/06/2009;0:38:14;Optico
TV;4a;43;English;29;30;false;9.1;19/03/2007;23:34:16;Optico Sonido
TV;4a;43;English;29;30;false;8.0;17/01/2018;4:56:08;Maquillaje Sonido
TV;4a;41;English;30;30;true;7.8;29/12/2007;6:00:48;Maquillaje
TV;4a;42;English;30;30;true;6.4;21/07/2015;10:35:06;Optico Sonido
TV;4a;43;English;30;30;false;6.7;01/03/2012;2:35:47;Maquillaje Optico
TV;4a;42;English;30;30;true;3.2;30/11/2001;20:07:29;Optico Sonido
